Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width
6,"[0.007529865891431524, 0.007559154295761671, 0.008304731938489048, 0.008041692205713064, 0.008194742169996192, 0.00820636563851232, 0.008452033117147428, 0.007748830882815777, 0.007576128891419752, 0.008126684354293891, 0.007941104232865785, 0.006823559398596574, 0.008631926692822683, 0.009141633135690688, 0.007567094871441701, 0.007563603672897443, 0.0077665916886014335, 0.0072221989785404206, 0.006704588574315754, 0.007505097798587356]","[0.0007050379338746236, 0.0003895342918103091, 0.0006905365207547109, 0.0007094013358076143, 0.0006097887600538603, 0.00047840850957976173, 0.0010132599055840893, 0.0008020001477603686, 0.0005076412073487474, 0.0006653357145242567, 0.0007446702355365532, 0.0005040912496263129, 0.0009018692064228901, 0.002350850875284781, 0.00046515733436365564, 0.00024999460827800616, 0.0004839877991585453, 0.0002554615596634478, 0.0007263393806228315, 0.00042241277006017615]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[0.011859048712857269, 0.011278366844344417, 0.013008417625678703, 0.013034856564232282, 0.011871153019934093, 0.011606939424319925, 0.012118856348596246, 0.013782302510018262, 0.012176412224278985, 0.012436795894297704, 0.013725753637180399, 0.013264863815732367, 0.013546982198562806, 0.013968018609988836, 0.01258031650425567, 0.013090644348579062, 0.013266532392881345, 0.013804925194334438, 0.014041641758563596, 0.013732794905621891]","[0.005004593031793336, 0.004728078432037162, 0.006688392428860534, 0.005471855969174749, 0.005145766702150519, 0.004877598570666364, 0.005444359459711221, 0.006511259090690261, 0.0053538361843950754, 0.005400898590359923, 0.006307227244045068, 0.005670480727742888, 0.005772609887333654, 0.006538379030357192, 0.005062855605384917, 0.005624661573089811, 0.0056457339111683985, 0.006670805753898704, 0.006015477158402833, 0.0057427528979186295]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
10,"[0.0272370520563397, 0.013127312670029435, 0.0272727442996776, 0.028247122713946738, 0.02850657247181516, 0.013077396755647246, 0.029773000856844842, 0.031232700185085248, 0.0249251462718738, 0.027043122111437175, 0.03197131088527385, 0.026897632600490138, 0.029954208570831857, 0.013167690032818688, 0.02787091838503589, 0.027807350028472556, 0.026350187043343406, 0.02731304452879288, 0.013938839250061261, 0.014381483827143842]","[0.0010172819402985203, 0.0004746906254690133, 0.0029514864464148484, 0.0013234752857074, 0.002631843774962415, 0.0006273648744477332, 0.0013364015755300072, 0.003201616975566378, 0.0024561511476323926, 0.00071126473076485, 0.0016496120585798048, 0.0013664910943318918, 0.0024051243238327373, 0.00037308036587174113, 0.00232403636583053, 0.0012457003839627884, 0.0022931119732723677, 0.002173834130352236, 0.0013392423476895174, 0.0017787926332271937]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]","[0.042897959838613005, 0.02287884640573923, 0.040818579905691356, 0.04254047183993472, 0.04234506915431536, 0.023820836328626943, 0.025520409813699577, 0.02424515288522733, 0.02139635525693718, 0.022072514914075976, 0.02503312081472749, 0.04014830021004724, 0.03089678951406053, 0.02353258735138557, 0.022727209270981673, 0.04417990780576864, 0.024472023700114472, 0.023872807643160094, 0.022675515014312364, 0.02350144131853345]","[0.009506435343716372, 0.009647221615038865, 0.009325322607980973, 0.011017093844172475, 0.011352549719199303, 0.009887072427954178, 0.002450018940643828, 0.0016562799552091126, 0.0015197411792384728, 0.002941790044646879, 0.0010798882771955384, 0.01026033686229441, 0.0017932119452748253, 0.010221432120027723, 0.0023713197397614576, 0.011802225531086043, 0.0029856809987014467, 0.004364715811654187, 0.00930718202139644, 0.010660725686097017]","[9, 10, 9, 9, 9, 10, 8, 8, 9, 9, 7, 9, 8, 10, 8, 9, 9, 9, 10, 10]"
14,"[0.04405841657052016, 0.040188918728381394, 0.05753162404289469, 0.062492874985660564, 0.06359942317150333, 0.042868685513635034, 0.04456899678542479, 0.03712355435667892, 0.03796033069998624, 0.04667823539971973, 0.04390034057141747, 0.04215584881478988, 0.041506531114074666, 0.039338952300853894, 0.050256571629350745, 0.05023168898603347, 0.03810081257168869, 0.037777633770851284, 0.04605914761362199, 0.053052228071360986]","[0.010195056780896548, 0.0035560633410176502, 0.0012630512984208686, 0.009254849308296146, 0.004322090897257256, 0.003558503641096652, 0.002068226186451094, 0.0013011994786563414, 0.004026885520348877, 0.003281406376655652, 0.0026438129054728774, 0.007372151226995232, 0.0029433704185196268, 0.0015092676155442023, 0.004297736798605829, 0.0042055000423637376, 0.004011735942041477, 0.004448051369508804, 0.01363236997374943, 0.002555223368658648]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 9, 10, 11, 13, 12, 11]","[0.041322944870833975, 0.03298658395693305, 0.09045653841499837, 0.06814863484261359, 0.08382128304302959, 0.03495330364218847, 0.04177523348605194, 0.03040568558499217, 0.02876012568594888, 0.07267750374282644, 0.06577828231508777, 0.04177074677094684, 0.03481025071440464, 0.03620771767122538, 0.06899348308631618, 0.06889168612875178, 0.05421261691413487, 0.03133069264295045, 0.036731175799754316, 0.049207954956883834]","[0.005251643496405208, 0.0029792894437960793, 0.003053154602944883, 0.009141658870711781, 0.002731231979192712, 0.0038324958919778093, 0.003844862629620407, 0.00215285956127893, 0.00125390358948266, 0.009188117545115681, 0.007492153091897973, 0.004222687700301095, 0.002995515418045039, 0.00189089137785799, 0.006192793802363652, 0.0028501345010867557, 0.005839897451486564, 0.0033345055521747467, 0.0035254125152752993, 0.005686338398391337]","[12, 12, 8, 10, 9, 12, 11, 13, 13, 10, 10, 12, 12, 12, 10, 10, 11, 13, 12, 11]"
18,"[0.06541422079982502, 0.05516719068650023, 0.06406290798581073, 0.08806700228555461, 0.06518869845728789, 0.07108168461376668, 0.06929975719997726, 0.0630174529568259, 0.06158643632869436, 0.06676412392781848, 0.06728047384240199, 0.07504688467140243, 0.059996868542761414, 0.0861111464577594, 0.06036146858574024, 0.05283853228569829, 0.06133870704340682, 0.07172347698610142, 0.062185845586022234, 0.06923910389970322]","[0.008240420456849487, 0.007632053697885453, 0.007721478024659093, 0.007211804883766157, 0.0036453149697549315, 0.003825814449721036, 0.0035343533363754024, 0.0051881940798991, 0.008729698071510205, 0.006971656104886099, 0.0027826074697848485, 0.005683264673170172, 0.010148075377595413, 0.007291678956300166, 0.0047280839978498974, 0.00536834301518809, 0.005820599419706846, 0.010049718262311142, 0.002638176603663244, 0.005813388383094565]","[15, 16, 14, 11, 15, 13, 14, 14, 15, 14, 13, 11, 15, 12, 14, 16, 16, 14, 15, 15]","[0.0951794573999775, 0.051458805300145675, 0.10048116671387107, 0.19232896055701923, 0.08223992731405556, 0.11802510922882772, 0.09733842102910525, 0.11597274741423981, 0.06707796541533233, 0.0943215817433416, 0.10553114761423786, 0.24950688228377008, 0.07205803102821975, 0.12225003108531902, 0.08101313117118221, 0.04889543057153267, 0.05929733347147703, 0.11783262277146735, 0.06979719448593512, 0.09176338641430318]","[0.009227938336110526, 0.005590964350017626, 0.004725527893808407, 0.00914516141743547, 0.021458319449616323, 0.003884122413331044, 0.001228749753467741, 0.006680501076035552, 0.006352983591728429, 0.002598438366794803, 0.002696229878434936, 0.03056164314129706, 0.005064878602229568, 0.0071990192801378965, 0.002386764803350706, 0.003658428683369724, 0.004438200788616619, 0.005447974526593748, 0.005202823098077351, 0.003877211888875622]","[15, 16, 14, 11, 15, 13, 15, 14, 15, 14, 13, 11, 15, 13, 14, 16, 16, 14, 15, 15]"
22,"[0.10488529927180415, 0.1064735633570568, 0.09511572635674383, 0.09852282850063473, 0.10112048381457238, 0.09017371199941927, 0.11484821314308127, 0.09930948068587375, 0.08715127998605436, 0.0917607928281151, 0.10063951838570315, 0.10321494142824252, 0.11091267835747984, 0.08788106052836935, 0.09823465804261754, 0.09641785347152368, 0.098039550057313, 0.07972655315783674, 0.08158630265679677, 0.09520289944193792]","[0.010873661091591068, 0.007355731578069446, 0.007174517327754256, 0.008601256894027015, 0.011913771943534402, 0.007760726643172331, 0.003785636752409246, 0.006875711429844927, 0.0033990212868812318, 0.006757574861196813, 0.006003809568395112, 0.0041502086154570125, 0.008013853938711941, 0.004657610956455687, 0.007069503252002793, 0.004076328348996284, 0.010419232927314143, 0.006148709970718378, 0.004754471174555559, 0.004252898557243985]","[16, 14, 16, 16, 16, 15, 12, 16, 18, 17, 15, 15, 13, 16, 15, 16, 14, 17, 18, 15]","[0.23615860443013453, 0.5509402337151447, 0.32205300571097595, 0.25857957842942725, 0.2852295382804836, 0.287848551994622, 0.4987227410019841, 0.22789097214782877, 0.18539610499948528, 0.26511677727934774, 0.22953144743223675, 0.34656350799819585, 0.3394976577131144, 0.26652698000127983, 0.30442828743252903, 0.2471376255645217, 0.3867052845723395, 0.16799269612903506, 0.16480288571453586, 0.2563567057118884]","[0.023524524449822448, 0.03887939614324033, 0.007651464637791732, 0.027329253345361196, 0.013529337852370567, 0.04192875956641394, 0.03501266799620535, 0.007865827635014668, 0.011020063575789643, 0.017358218874389063, 0.015839730333758992, 0.018157143573069818, 0.007037293593776925, 0.019552190018649756, 0.01778279658089652, 0.021780434799851037, 0.012432902044330538, 0.016583217211168295, 0.012079434526319073, 0.018503840170997713]","[16, 14, 16, 17, 16, 16, 12, 16, 18, 17, 15, 15, 13, 17, 15, 16, 14, 17, 18, 15]"
26,"[0.1363702068146917, 0.1197122435280887, 0.11861514417188508, 0.12030103832824222, 0.11063580135731692, 0.15019020578599468, 0.14442528402890145, 0.13035243478578715, 0.11449823798570183, 0.12860280204289926, 0.166304427643107, 0.13069381965698473, 0.1381593611860548, 0.14026258542809436, 0.14473562371401516, 0.13518807904370728, 0.12281641877073395, 0.12360956050064746, 0.1419857777567813, 0.14958236640127973]","[0.007689727684249431, 0.004150306550856442, 0.006945382808020373, 0.008148402462746016, 0.005233545359111628, 0.010314284483798062, 0.0038098387074481845, 0.007711223362893427, 0.004621717219085249, 0.005790499365519897, 0.009241110273289468, 0.006064530007992027, 0.007030238920433964, 0.01331695924370163, 0.011861790557801039, 0.0037945390441647404, 0.022419449484666273, 0.01744137365255868, 0.008927216478958534, 0.010839812341892905]","[16, 18, 20, 18, 21, 14, 16, 18, 21, 19, 13, 17, 16, 16, 18, 17, 18, 18, 16, 16]","[0.6862645714302614, 0.628366447278365, 0.4402226435735689, 0.5016021565742059, 0.36390537657176275, 1.1952217961412057, 0.7451855042891111, 0.48378685271018185, 0.31928038770898376, 0.5912648328604908, 1.327557854574739, 0.7177637961410385, 0.7981208168535626, 0.7899669611402454, 0.6581634354328604, 0.7519045195741845, 0.6484167662939788, 0.5363653142911582, 0.7129932881424403, 0.8169080229958386]","[0.026565489760929224, 0.024429981153230116, 0.013782438520200559, 0.028029142181799614, 0.018357178771029912, 0.06192304512643893, 0.03164015389641066, 0.021147066871417975, 0.008729462191187297, 0.01782355689363148, 0.04817124357302547, 0.02521043280532359, 0.03639224486972544, 0.022727658143174814, 0.034065738246076296, 0.028812483639780857, 0.050535222736997606, 0.036240034364631205, 0.01234184950779143, 0.18173733116754381]","[16, 18, 20, 19, 21, 14, 17, 19, 21, 20, 13, 17, 16, 16, 18, 17, 19, 18, 16, 16]"
30,"[0.1808278324144859, 0.17871181642819595, 0.19437586871208623, 0.181786251642708, 0.19032183856636817, 0.14816440995741037, 0.1821348529570969, 0.19116363192816996, 0.22067282285258574, 0.18352067068585062, 0.15004998492866956, 0.15794179929985797, 0.16414107234242173, 0.20747489742435782, 0.1625030519993743, 0.18495584042767793, 0.19883664914232213, 0.16499953190006117, 0.1666400688700378, 0.17135077837156132]","[0.01635756865112015, 0.005330661243777529, 0.0111419074878718, 0.011946381093390832, 0.017871233073124798, 0.012481214129935735, 0.02559913277732406, 0.016667153249127414, 0.008355101096971875, 0.01451288474106425, 0.005376069022464483, 0.007327017418418335, 0.004696738029884401, 0.008988657608175077, 0.007717743251634942, 0.015905061553999077, 0.020764821930697997, 0.01128676596463661, 0.014228633203968622, 0.0046567887011331735]","[19, 21, 20, 20, 17, 24, 21, 18, 17, 20, 23, 21, 21, 18, 23, 19, 18, 21, 19, 21]","[1.6784985508462082, 1.33862789729028, 1.5762529970088508, 0.9254940591469806, 2.0091556685718905, 0.7321598944295796, 1.4767560902816643, 1.6825371862838179, 2.073667247717302, 1.041049534292792, 0.7807611915715305, 0.9404159095803541, 1.123974024850343, 1.817964488860785, 0.691510186285346, 1.547922085288779, 1.444340562859517, 1.055328795998191, 1.5209476078619315, 1.1317545972872591]","[0.12870287986509044, 0.06215306919443846, 0.05936671346643743, 0.030121336914611992, 0.08444264382555598, 0.038613354431595893, 0.02866236437801932, 0.08084248660932213, 0.15943990734796587, 0.0860426367463498, 0.1119570035273485, 0.030950547565039236, 0.036843012396066015, 0.05527515691358123, 0.03755973657329, 0.1410579689978243, 0.04880281406025101, 0.0688249994255963, 0.053176841266142943, 0.09564912191417148]","[19, 22, 21, 21, 17, 24, 21, 19, 16, 21, 23, 21, 21, 18, 23, 19, 19, 21, 19, 21]"
34,"[0.24941252071377157, 0.2829096215677315, 0.3033984081495354, 0.38853875142688465, 0.23132265500940516, 0.25974269970486474, 0.23694532686412068, 0.3122780377078535, 0.28134625271611313, 0.27246377828747165, 0.2379243628487789, 0.2483695828621941, 0.23939310728539048, 0.26639439114452607, 0.3006423308563951, 0.23965741117094044, 0.2794632811481798, 0.24533404428179242, 0.26667843571132316, 0.21100464285284812]","[0.012237238435098751, 0.014793955873822755, 0.02527659988694534, 0.04397293212550671, 0.023225707634136422, 0.02093606721969436, 0.08381273442589189, 0.04457944021308819, 0.021054306203457926, 0.02137432377586421, 0.016707838620520738, 0.028616899699323742, 0.03673722788416385, 0.02060189968918282, 0.016021177467760918, 0.01123630685588766, 0.0486716161477221, 0.016078046829227557, 0.05575963200191054, 0.04783724595025588]","[23, 20, 24, 20, 23, 22, 23, 20, 21, 21, 24, 21, 23, 21, 18, 22, 22, 24, 21, 24]","[2.6360517955701135, 3.229846210863408, 1.7302053570040568, 3.3099489681397762, 2.205453128853281, 2.888647124429034, 2.1830977161423237, 3.5583654898551424, 4.0582016522821505, 3.314587058574294, 2.5405177497180245, 3.2614144668540184, 2.783680133430088, 2.747399690423793, 4.621157484428425, 2.265392876288388, 2.9923405691349347, 2.033421952718137, 3.024616631001533, 1.9616802349961031]","[0.13927830533854316, 0.15083152684145576, 0.09356688816659148, 0.22640440798825692, 0.07945179226815498, 0.09925619415435893, 0.29463502180932866, 0.2365969582820275, 0.22033858911285994, 0.1373042032653662, 0.14928915974986784, 0.13372049984132975, 0.15624821636667413, 0.09165800273886061, 0.22108549974063002, 0.1262325458292779, 0.20689779600856337, 0.0616718867791126, 0.07184123373665353, 0.11996229891947251]","[23, 21, 24, 21, 24, 23, 24, 22, 21, 21, 24, 22, 23, 23, 18, 23, 21, 24, 22, 23]"
38,"[0.4193869494275922, 0.32797500913979355, 0.2578197859984357, 0.28902458856464364, 0.4143624905721351, 0.29591252199523815, 0.3180461044290236, 0.3106763661448245, 0.36265112514125314, 0.34567640043262926, 0.29032319656939115, 0.32265390642818864, 0.3089774879959545, 0.31453938943533494, 0.39553344258040724, 0.3447453192909182, 0.32948228170945576, 0.3398856635737632, 0.296671219432028, 0.3897154132885459]","[0.02904715379516493, 0.04697693903128382, 0.059788948680490894, 0.014397124516613322, 0.04149399682026056, 0.030212262513254106, 0.04150207809501146, 0.04732307620384085, 0.0484419327040243, 0.0076575524219248976, 0.035442007105311805, 0.04427004026493552, 0.040235529887251126, 0.026919084079984817, 0.036941173253505356, 0.042717980070026265, 0.02639878922108784, 0.022668948065451267, 0.05559557256333865, 0.022566066110304924]","[21, 22, 24, 27, 21, 27, 25, 25, 21, 23, 24, 22, 24, 27, 22, 23, 24, 25, 23, 20]","[6.127366595003488, 6.24825080685384, 6.642718878146427, 3.634742581713778, 6.33187658971292, 3.830797489857235, 4.158916022715857, 3.9354300155786666, 6.0182960112870205, 5.332199344989411, 4.543789301566513, 6.361138075278307, 4.4131290998567625, 3.418421874001589, 5.7365500257209145, 5.2822162791438005, 4.07426707371321, 4.3534882750037855, 5.099206181421843, 8.078549282276072]","[0.18123338026748909, 0.8644881367597727, 0.2904802074606208, 0.13444746870937935, 0.3232778276714009, 0.25426871807153184, 0.05868114363224657, 0.057580672745778, 0.09121014445025584, 0.08892163591126251, 0.14958472334950232, 0.3283752487601387, 0.0742253044582361, 0.025067479959004855, 0.13494778507718844, 0.0590091578957836, 0.0444395416134492, 0.07509584943965548, 0.26864810843742937, 1.133540739950618]","[20, 22, 22, 28, 22, 28, 25, 26, 22, 22, 25, 22, 24, 27, 21, 24, 24, 28, 23, 20]"
42,"[0.4888162720058712, 0.5535935151399046, 0.4251808070028866, 0.3922672258631792, 0.4548809285749615, 0.3807285602878047, 0.46678870256956934, 0.34449572642500115, 0.36136165613424964, 0.3734250531415455, 0.3904290408577903, 0.4031392310030891, 0.3887870150002917, 0.39984350343002006, 0.33401090742388206, 0.39368271885905415, 0.44034177143060205, 0.3952376568590158, 0.4443399781510899, 0.38937428656832446]","[0.07009141023078388, 0.1661343812130499, 0.02774656639820219, 0.007458362022552228, 0.022685320102746116, 0.01573277099883438, 0.0188906213504131, 0.03142316190847757, 0.05449428247394773, 0.026788779133485797, 0.023613768469325155, 0.027082035266386986, 0.03047928921220014, 0.03316752122001081, 0.032647813349043174, 0.0372115465618349, 0.04909669583331876, 0.09007739269804531, 0.03263182278965842, 0.022323468230732918]","[23, 25, 27, 27, 24, 28, 23, 30, 27, 24, 28, 25, 24, 24, 29, 25, 24, 26, 26, 27]","[10.583119242140258, 10.129044162437951, 7.680655260574505, 8.13507527756987, 9.814563420002482, 6.752826508562846, 9.935810790002247, 6.270348909144689, 6.787933552858054, 8.756525707435296, 7.730931640423868, 8.785489538996314, 7.845716368286438, 10.307164280288687, 7.12561225828748, 10.30688451471672, 11.344743231718894, 9.32748103756707, 9.782397373005681, 11.88830208242455]","[0.5513252735071937, 0.8438990832123389, 0.09330566346961179, 0.6518073650700981, 0.40625556212638225, 0.21935904076300242, 0.22445434153674684, 0.11285296552826876, 0.15945074321990668, 0.33912070617080886, 0.43887765937374923, 0.3305694296370992, 0.24823268668068132, 0.4186063059250318, 0.3079339773449555, 0.3955852555179402, 0.3256842794837782, 0.21008218444903426, 0.1335180494757892, 1.526117257868535]","[23, 26, 27, 26, 25, 30, 25, 31, 27, 26, 29, 25, 27, 25, 29, 27, 25, 26, 29, 26]"
