Circuit Sizes,GidNET Average Runtime,GidNET Stdev Runtime,GidNET Width,QNET Average Runtime,QNET Stdev Runtime,QNET Width,Qiskit Average Runtime,Qiskit Stdev Runtime,Qiskit Width
16,0.029453659601443,0.0006249961762537,8,0.232041812318909,0.0206455904825504,8,0.0344030109429565,0.00069912362382,11
20,0.0533647763576092,0.0022968220276064,10,0.644203399424441,0.0325105863544941,9,0.0470880984149906,0.0015148707549638,14
25,0.112910511456097,0.0046001648330128,10,1.91357036668342,0.0340463960678529,9,0.063693421771833,0.0025168256459105,16
30,0.251761611135277,0.0173853659286088,11,4.44256883588553,0.116288914112935,12,0.0782111533576556,0.0016868991979136,21
36,0.417174360282453,0.0228699367592,12,10.3442208005747,0.343987727014561,11,0.1026923369711897,0.0068339953653191,22
42,0.802318541965048,0.0620817534365821,12,24.0051559528469,1.05698536391164,13,0.1230557834995644,0.0041648435686345,27
49,1.51537535730417,0.0959924581067098,13,43.0607131048205,1.04746407652384,14,0.155347606156803,0.0082125537395191,33
56,2.08095120131371,0.0859616253542914,14,74.5704165705746,3.27211991080373,19,0.1821076489714739,0.0033013677101768,40
64,3.70821362329713,0.360354073921604,19,146.020070336726,1.9855278441897,19,0.2185325384322953,0.0076624612251315,45
72,5.59245964156331,0.331839257661903,18,270.305784115285,4.20290409550918,20,0.2664962967142595,0.0157800545243435,51
81,9.20984537613445,0.0785639817942523,18,477.491955507996,8.84035227482315,20,0.3251106695679482,0.0215121412141565,56
90,15.1710239994074,0.367329343785821,21,753.273386341453,10.3737820638047,23,0.3608743730001151,0.0108959421442514,57
100,22.47184966616,0.658527255543036,22,1268.25871725555,10.9157193180146,25,0.4167308139980638,0.010996712492758,66
110,34.9588930444027,1.22136853710508,23,2045.40384203688,68.6444238704926,23,0.4847431861437923,0.0184744388190923,76
121,61.5730698334186,6.14677953987703,24,3250.86347069501,121.333828845993,24,0.5599645431419569,0.0117964205292492,83
132,76.0656140490069,0.639508187967492,25,4726.53186483856,192.844638170767,28,0.6490974788653797,0.0205480771088222,93
144,106.391831595717,3.17746897277243,28,7662.45137651584,211.900421869858,29,0.7559322454243167,0.0249485657024648,102
